date		time		mS	unixtime	id	ct1	ct2	ct3		ct4	Vac	t1	h	t2	t3 & sentat unixtime

27/12/2014	23:14:01	739	1419684242	5	957.71	219.47	158.82		-24.48	243.2	19.5	48	17.87	23.5]]&sentat=1419684241
27/12/2014	23:14:04	413	1419684244	5	987.02	220.26	158.13		-24.27	243.54	19.4	47.9	17.87	23.5]]&sentat=1419684244
27/12/2014	23:14:06	985	1419684247	5	978.66	219.6	-2848064.25	-22.21	243.22	19.4	47.9	17.87	23.5]]&sentat=1419684246
27/12/2014	23:14:09	623	1419684250	5	964.34	218.28	161.87		-23.9	243.63	19.4	48	17.87	23.5]]&sentat=1419684249
27/12/2014	23:14:12	286	1419684252	5	960.15	219.62	156.24		-24.68	243.14	19.4	47.9	17.94	23.5]]&sentat=1419684252
													
27/12/2014	23:15:26	434	1419684326	5	999.18	220	159.86		-25.1	243.16	19.4	48.2	17.81	23.5]]&sentat=1419684326
27/12/2014	23:15:28	986	1419684329	5	997.99	221.62	154.76		-24.38	243.58	19.4	48.2	17.81	23.44]]&sentat=1419684328
27/12/2014	23:15:31	657	1419684331	5	986.75	220.96	-6514762.5	-24.34	243.43	19.4	48.2	17.81	23.44]]&sentat=1419684331
27/12/2014	23:15:34	234	1419684334	5	997.5	218.08	158.21		-24.51	243.49	19.4	48.2	17.81	23.5]]&sentat=1419684334
27/12/2014	23:15:36	924	1419684337	5	990.53	221.72	158.29		-22.89	243.13	19.4	48.2	17.81	23.44]]&sentat=1419684336
													
27/12/2014	23:16:00	899	1419684361	5	980.23	219.36	155.6		-23.49	243.07	19.4	48.3	17.75	23.44]]&sentat=1419684360
27/12/2014	23:16:03	577	1419684363	5	978.16	222.85	160.37		-22.98	243.34	19.4	48.3	17.75	23.44]]&sentat=1419684363
27/12/2014	23:16:06	175	1419684366	5	986.42	216.09	108443.96	-24.29	243.48	19.4	48.3	17.75	23.44]]&sentat=1419684366
27/12/2014	23:16:08	796	1419684369	5	978.33	222.78	157.61		-23.46	243.19	19.4	48.3	17.75	23.44]]&sentat=1419684368
27/12/2014	23:16:11	472	1419684371	5	975.05	221.09	155.51		-24.9	243.02	19.4	48.2	17.75	23.44]]&sentat=1419684371
													
27/12/2014	23:19:56	378	1419684596	5	1386.93	141.47	452.49		-24.97	243.09	19.4	48.2	17.56	23.44]]&sentat=1419684596
27/12/2014	23:19:59	21	1419684599	5	1462.16	142.66	453.16		-24.56	243.99	19.4	48.2	17.56	23.44]]&sentat=1419684599
27/12/2014	23:20:01	650	1419684601	5	1244.97	142.33	13151642	-24.39	243.22	19.4	48.3	17.56	23.44]]&sentat=1419684601
27/12/2014	23:20:04	298	1419684604	5	1342.9	141.56	454.77		-23.72	243.38	19.4	48.3	17.62	23.44]]&sentat=1419684604
27/12/2014	23:20:06	886	1419684607	5	1390.55	142.54	450.91		-24.52	243.2	19.4	48.3	17.56	23.44]]&sentat=1419684606
